Data,Hidden Size,Intermediate Size,Num Attn Heads,Num Layers,Embeddding Size,Vocab Size,Num Params,QQP-F1,QQP-Acc,QNLI-Acc,MNLI-Acc,COLA,BLiMP-finetune,Checkpoint,Batch Size,Max Seq. Length,Model,BLiMP-FT,BLiMP-PLL,WNLI,COLA,MRPC-Acc,MRPC-f1
owt full,256,1024,4,12,128,"30,522","13,549,057",0.8318686559,0.8779124413,0.8447739337,0.7558838512,0.4975222212,0.9158043118,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,128,"30,522","13,549,057",0.8163680092,0.8659163987,0.8189639392,0.7290480065,0.3681644295,0.8486069652,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,128,4,10,64,"30,522","5,370,241",0.8064804691,0.8555280732,0.8026725243,0.7163344182,0.2808181677,0.7826533997,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,192,128,4,18,64,"30,522","5,608,513",0.8054031237,0.8517684887,0.7990115321,0.7177583401,0.3225718298,0.8123548922,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,160,128,4,24,64,"30,522","5,501,025",0.8092679002,0.8534009399,0.813472451,0.707078926,0.3164893893,0.7907628524,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,768,4,12,128,"30,522","11,973,121",0.8198064282,0.865075439,0.8112758558,0.7240642799,0.376284353,0.8342620232,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,512,4,12,128,"30,522","10,397,185",0.8227747125,0.8681177344,0.8132894014,0.7083036169,0.3657284558,0.8486567164,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,256,4,12,128,"30,522","8,821,249",0.8158279458,0.8597823398,0.8153029471,0.7152317881,0.3281968638,0.8446932007,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,128,4,12,128,"30,522","8,033,281",0.819919907,0.8620826119,0.8096284093,0.7258950366,0.3499281319,0.8362354892,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,64,4,12,128,"30,522","7,639,297",0.8188171018,0.8589166461,0.8081640124,0.7253864931,0.2638539158,0.8097678275,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,2,12,128,"30,522","13,549,057",0.8202154101,0.8658174623,0.8096284093,0.7228437754,0.3767504339,0.8536484245,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,1,12,128,"30,522","13,549,057",0.8139038125,0.8577788771,0.8098114589,0.7034131431,0.3621475859,0.811774461,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,192,1024,4,12,128,"30,522","10,555,969",0.815036226,0.8591887212,0.8131063518,0.7181651749,0.3282335046,0.8214262023,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,128,1024,4,12,128,"30,522","7,947,777",0.8018493643,0.8431115508,0.8024894746,0.7020951993,0.2435297957,0.7888059701,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,64,1024,4,12,128,"30,522","5,774,017",0.7620244287,0.7985654217,0.7439136006,0.6586655818,0,0.6342288557,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,32,1024,4,12,128,"30,522","4,829,409",0.7165481218,0.7476626268,0.6289584477,0.5984540277,0,0.5178606965,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,10,128,"30,522","11,969,537",0.8145933827,0.8650012367,0.8248215266,0.7151139138,0.3984484478,0.8674295191,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,8,128,"30,522","10,390,017",0.8173436003,0.8632945832,0.8169503936,0.7185720098,0.3318916359,0.7788059701,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,6,128,"30,522","8,810,497",0.8106240987,0.8603264902,0.8081640124,0.7092148088,0.2544480792,0.8029353234,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,96,"30,522","12,547,649",0.814244859,0.8650507049,0.8138385502,0.7205044752,0.3586819211,0.8536318408,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,64,"30,522","11,546,241",0.8060749115,0.8455602276,0.8083470621,0.7190805533,0.3502909256,0.7827860697,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,32,"30,522","10,544,833",0.7871807114,0.8235963394,0.7744828849,0.6974165989,0.1636904185,0.7671310116,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,128,"8,192","10,690,817",0.8178145503,0.8605738313,0.7958996888,0.7180634662,0.2553372381,0.7843283582,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,128,"10,000","10,922,241",0.8137566492,0.8623052189,0.8202452865,0.7108507387,0.290023579,0.7645273632,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,128,"12,288","11,215,105",0.8187637595,0.8676477863,0.8217096833,0.7213181448,0.3029475104,0.7965174129,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,128,"15,000","11,562,241",0.821613474,0.8653475142,0.8103606077,0.7130797396,0.2719371161,0.7433167496,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,128,"16,384","11,739,393",0.8199124436,0.8656937917,0.8180486912,0.7190805533,0.302293724,0.7522885572,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,128,"20,000","12,202,241",0.8183215091,0.86255256,0.8142046495,0.7140968267,0.2492890526,0.7624543947,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,128,"20,480","12,263,681",0.8151732539,0.8649023003,0.812557203,0.7031074885,0.1991110039,0.8045605307,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,128,"24,576","12,787,969",0.8161142744,0.8618105367,0.8142046495,0.7031074885,0.2224625409,0.785655058,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,1024,4,12,128,"28,672","13,312,257",,,0.8087131613,0.7185720098,0.3140026971,0.7464842454,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,256,1,8,128,"30,522","7,238,145",0.8026464317,0.8443235221,0.7993776313,0.7066720911,0.2727809902,0.7782421227,100000,128,128,ELECTRA-Google,,,,,,
owt 5m-250k,256,256,1,8,128,"30,522","7,238,145",0.8097793301,0.851817957,0.8081640124,0.7167412531,0.2472056966,0.7842288557,250000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,128,4,8,128,"30,522","6,712,833",0.8123217342,0.8535246104,0.8006589786,0.7152156225,0.278074087,0.7788059701,100000,128,128,ELECTRA-Google,,,,,,
owt 5m-250k,256,128,4,8,128,"30,522","6,712,833",0.8151498742,0.8564679693,0.8061504668,0.7227420667,0.2932716863,0.8034494196,250000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,128,4,10,96,"30,522","6,371,649",0.8174413343,0.8603017561,0.8191469888,0.7221318145,0.2840156029,0.8130679934,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,128,4,10,64,"30,522","5,370,241",0.8064804691,0.8555280732,0.8026725243,0.7163344182,0.2808181677,0.7826533997,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,128,4,12,64,"12,288","4,863,489",0.8104411481,0.8539698244,0.816767344,0.713995118,0.1995950816,0.7878606965,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,128,4,10,128,"8,192","4,514,817",0.8151742391,0.8549097205,0.822807981,0.7065715741,0.1901832833,0.7975456053,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,192,128,4,14,64,"30,522","4,814,657",0.8013739266,0.8426663369,0.8019403258,0.7084011391,0.211368179,0.7594029851,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,192,128,4,18,64,"30,522","5,608,513",0.8054031237,0.8517684887,0.7990115321,0.7177583401,0.3225718298,0.8123548922,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,256,128,8,10,64,"30,522","5,370,241",0.8116899619,0.8533762058,0.7900421014,0.7010697911,0.2461958415,0.7471144279,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,160,128,4,24,64,"30,522","5,501,025",0.8092679002,0.8534009399,0.813472451,0.707078926,0.3164893893,0.7907628524,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,132,96,4,36,64,"30,522","5,480,365",,,,,,0.7716915423,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,120,60,4,48,64,"30,522","5,519,593",,,,,0,0.7556716418,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,320,160,5,6,64,"30,522","5,200,513",0.8107954366,0.8519168934,0.8136555006,0.7107404394,0.1618673852,0.7463515755,100000,128,128,ELECTRA-Google,,,,,,
owt 5m,64,256,1,12,128,"30,522","4,585,153",0.7596451413,0.7982933465,0.743730551,0.6473759154,0,,100000,128,128,ELECTRA-Google,,,,,,
owt full,256,1024,4,12,128,"30,522",,0.8168416801,0.8653969824,0.8396485448,0.7350993377,0.3571312569,0.9075124378,500000,128,128,ELECTRA-Google,,,,,,